
DEPTH           POR        PORW       BULK       PORT       PORF       PERM         HF         PF         SW         SH       CALC         CL       PORX       PORH        RWA       RMFA
1907.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     70.609      0.000     70.609      0.000      0.000      0.262      0.241
1907.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     70.613      0.000     70.613      0.000      0.000      0.290      0.258
1907.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     71.106      0.000     71.106      0.000      0.000      0.311      0.272
1907.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     72.245      0.000     72.245      0.000      0.000      0.255      0.216
1907.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     73.205      0.000     73.205      0.000      0.000      0.293      0.243
1907.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     74.321      0.000     74.321      0.000      0.000      0.284      0.229
1907.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     75.014      0.000     75.014      0.000      0.000      0.263      0.200
1908.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     75.196      0.000     75.196      0.000      0.000      0.240      0.166
1908.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     72.558      0.000     72.558      0.000      0.000      0.222      0.158
1908.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     68.837      0.000     68.837      0.000      0.000      0.309      0.264
1908.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.008    100.000     64.659      0.000     64.659      0.000      0.000      0.290      0.327
1908.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     59.397      0.000     59.397      0.000      0.000      0.265      0.335
1908.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     56.827      0.000     56.827      0.000      0.000      0.312      0.355
1908.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     59.180      0.000     59.180      0.000      0.000      0.278      0.284
1908.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     62.648      0.000     62.648      0.000      0.000      0.263      0.246
1909.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     65.549      0.000     65.549      0.000      0.000      0.318      0.279
1909.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     68.413      0.000     68.413      0.000      0.000      0.228      0.190
1909.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     70.347      0.000     70.347      0.000      0.000      0.232      0.182
1909.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.009    100.000     72.815      0.000     72.815      0.000      0.000      0.260      0.189
